Repeat,Generation,X1,X2,F(x)
31,50,-0.7808041504539549038099721656180918216705322265625,-1.4287022201876862226299635949544608592987060546875,185.86267415897231103372178040444850921630859375,
Repeat,Generation,X1,X2,F(x)
32,0,-1.320973525597008091381212580017745494842529296875,5.3743801022354471541575549053959548473358154296875,139.133512036084965757254394702613353729248046875,
32,10,-1.365224689097427557271657860837876796722412109375,5.4888227664606699107707754592411220073699951171875,178.214280159123262592402170412242412567138671875,
32,20,-1.4265659571221487311731834779493510723114013671875,5.4906538490882734748765869881026446819305419921875,186.592178179336457333192811347544193267822265625,
32,30,-1.4265659571221487311731834779493510723114013671875,5.4808880750743877996455921675078570842742919921875,186.717462887153175188359455205500125885009765625,
32,40,-1.4265659571221487311731834779493510723114013671875,5.4833295185778592184533408726565539836883544921875,186.725616194500986466664471663534641265869140625,
32,50,-1.4265659571221487311731834779493510723114013671875,5.4833295185778592184533408726565539836883544921875,186.725616194500986466664471663534641265869140625,
Repeat,Generation,X1,X2,F(x)
33,0,5.7357137407492171377043632674030959606170654296875,-1.4299229419394219320338379475288093090057373046875,69.882637694463170419112429954111576080322265625,
33,10,5.4860761425192645646120581659488379955291748046875,-1.4360265506981004790532097104005515575408935546875,186.432331671579817111705779097974300384521484375,
33,20,5.4888227664606699107707754592411220073699951171875,-1.4225986114290076756105918320827186107635498046875,186.637602666351170910274959169328212738037109375,
33,30,5.4885175860227359834198068710975348949432373046875,-1.4250400549324790944183405372314155101776123046875,186.660325687296193564179702661931514739990234375,
33,40,5.4885175860227359834198068710975348949432373046875,-1.4250400549324790944183405372314155101776123046875,186.660325687296193564179702661931514739990234375,
33,50,5.4885175860227359834198068710975348949432373046875,-1.4250400549324790944183405372314155101776123046875,186.660325687296193564179702661931514739990234375,
Repeat,Generation,X1,X2,F(x)
34,0,-0.883344777599756270092257182113826274871826171875,-0.13565270466163070750553742982447147369384765625,107.5747026577835612215494620613753795623779296875,
34,10,-0.832990005340658257182440138421952724456787109375,-1.405203326466772040248542907647788524627685546875,183.449182767636926882914849556982517242431640625,
34,20,-0.7811093308918888311609407537616789340972900390625,-1.406118867780573822301448672078549861907958984375,185.07559953621813519930583424866199493408203125,
